WBS #,Name / Title,Type,Start Date,End Date,Estimated Hours,Actual Hours,Percent Complete,Resources,Predecessors,Notes,Comments,Task Color
1,sgsa,project,7/1/2024,8/29/2024,0,0,0,,,,,
1.1,apprentissage,group,7/1/2024,8/14/2024,0,0,0,,,,,
1.1.1,"apprendre  Angular, et se connecter avec l'équipe",task,7/1/2024,7/8/2024,0,0,0,,,,,blue2
1.1.2,apprendre NestJS ,task,8/7/2024,8/14/2024,0,0,0,,,,,blue2
1.2,frontend ,group,7/9/2024,8/5/2024,0,0,0,,,,,
1.2.1,  Paramétrer modèle  de prix,task,7/9/2024,7/11/2024,0,0,0,,,,,blue2
1.2.2,  Paramétrer modèle  de stockage,task,7/10/2024,7/11/2024,0,0,0,,,,,blue2
1.2.3,  Paramétrer modèle  de suivi,task,7/11/2024,7/11/2024,0,0,0,,,,,blue2
1.2.4,  Consulter bon de  réception,task,7/17/2024,7/29/2024,0,0,0,,,,,blue2
1.2.5,  Modifier bon de  réception,task,7/17/2024,7/29/2024,0,0,0,,,,,blue2
1.2.6,  Consulter time  ligne bon de réception,task,7/31/2024,8/2/2024,0,0,0,,,,,blue2
1.2.7,  Consulter lignes  bons de commande,task,7/18/2024,7/29/2024,0,0,0,,,,,blue2
1.2.8,  Consulter infos  générales bon de réception,task,7/19/2024,7/29/2024,0,0,0,,,,,blue2
1.2.9,  Affecter lot à bon  de réception,task,7/23/2024,7/29/2024,0,0,0,,,,,blue2
1.2.10,  Créer nouveau lot  avec DLC,task,7/23/2024,7/29/2024,0,0,0,,,,,blue2
1.2.11,  Spécifier filtres  pour image de stock,task,7/29/2024,7/29/2024,0,0,0,,,,,blue2
1.2.12,  Calculer image de  stock,task,7/29/2024,7/29/2024,0,0,0,,,,,blue2
1.2.13,  Consulter mouvement  de stock,task,7/26/2024,8/5/2024,0,0,0,,,,,blue2
1.2.14,  Modifier mouvement  de stock,task,7/26/2024,8/5/2024,0,0,0,,,,,blue2
1.2.15,  Consulter time  ligne bon de réception,task,7/30/2024,8/5/2024,0,0,0,,,,,blue2
1.2.16,  Consulter lignes  mouvements de stock,task,7/26/2024,8/5/2024,0,0,0,,,,,blue2
1.2.17,  Consulter infos  ligne de mouvement,task,7/26/2024,8/5/2024,0,0,0,,,,,blue2
1.2.18,  Saisie des  emplacements selon type,task,7/29/2024,8/5/2024,0,0,0,,,,,blue2
1.2.19,  Saisir quantité à  expédier,task,7/29/2024,8/5/2024,0,0,0,,,,,blue2
1.2.20,  Vérifier quantité à  expédier,task,7/30/2024,8/5/2024,0,0,0,,,,,blue2
1.2.21,  Contrôler  disponibilité de stock,task,7/31/2024,8/5/2024,0,0,0,,,,,blue2
1.2.22,  Valider lignes de  mouvement de stock,task,7/31/2024,8/5/2024,0,0,0,,,,,blue2
1.3,backend,group,8/15/2024,8/29/2024,0,0,0,,,,,
1.3.1,  Mise à niveau de  fiche article,task,8/15/2024,8/19/2024,0,0,0,,,,,blue2
1.3.2,  Dév. modèles de  prix d’article,task,8/16/2024,8/19/2024,0,0,0,,,,,blue2
1.3.3,  Dév. modèles de  dimension de stockage,task,8/16/2024,8/19/2024,0,0,0,,,,,blue2
1.3.4,  Dév. modèles de  dimension de suivi,task,8/16/2024,8/19/2024,0,0,0,,,,,blue2
1.3.5,  Suppression  composante PRICEMODEL,task,8/19/2024,8/26/2024,0,0,0,,,,,blue2
1.3.6,  Ajout statut  VALIDER,task,8/26/2024,8/28/2024,0,0,0,,,,,blue2
1.3.7,  Gestion statuts DA,task,8/27/2024,8/28/2024,0,0,0,,,,,blue2
1.3.8,  Bouton passage  statut VALIDER,task,8/28/2024,8/28/2024,0,0,0,,,,,blue2
1.3.9,  Clôture des lignes  de DA,task,8/29/2024,8/29/2024,0,0,0,,,,,blue2
